"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Olfr720",36.6485106240375,-0.630813861008219,0.758253445873825,-0.831930094668093,0.405448403724209,0.948932834533714,"No","NotSig"
"Olfr279",38.9933579082777,-0.542063677232684,0.651187891622635,-0.832422844782886,0.405170311726806,0.948932834533714,"No","NotSig"
"Slc25a40",239.749956721955,0.258686743115759,0.310715539525192,0.832551675758032,0.405097622556964,0.948932834533714,"No","NotSig"
"Zfp459",55.9062568399286,-0.549013888950069,0.660112017042969,-0.831698067563481,0.405579391697096,0.948932834533714,"No","NotSig"
"Pcbp2",2706.85964605409,0.14573112961976,0.174925603851558,0.833103481771756,0.404786370108097,0.948932834533714,"No","NotSig"
"Ddx49",888.422346739071,0.172204852777521,0.206903920701928,0.832293811510727,0.405243122851025,0.948932834533714,"No","NotSig"
"ND6",5919.49775014864,0.21553617184263,0.259061960703534,0.83198695500219,0.405416307797259,0.948932834533714,"No","NotSig"
"Taf1a",231.942912852542,-0.25694313505966,0.308210247385112,-0.833661882560986,0.404471543429492,0.948932834533714,"No","NotSig"
"Nbas",143.36703204254,0.31986332128896,0.384844351629314,0.831149840019105,0.405888987063667,0.948958451276329,"No","NotSig"
"Parvb",20.1949707168772,0.766958948561693,0.92263280999411,0.831272138009692,0.405819910645226,0.948958451276329,"No","NotSig"
"Cdk5rap1",347.166871136333,0.326772706626377,0.393085527161069,0.831301800873681,0.405803157508176,0.948958451276329,"No","NotSig"
"Trit1",1498.15467710871,-0.158191324170102,0.190321987884467,-0.831177342820371,0.405873452304296,0.948958451276329,"No","NotSig"
"Wdr13",455.434205630269,0.199206014620601,0.239871389531252,0.830470090701031,0.406273051415878,0.949517331481515,"No","NotSig"
"Slc38a9",1305.82170570567,-0.158011166672877,0.190241981654723,-0.83057990301876,0.406210991800086,0.949517331481515,"No","NotSig"
"Xpnpep1",1378.1120661418,0.177427177609044,0.213755553559135,0.830047101255589,0.406512153646582,0.949858551807052,"No","NotSig"
"Bhlhe41",782.61084947367,-0.596327245365894,0.718505356209265,-0.829955184345506,0.406564122403858,0.949858551807052,"No","NotSig"
"Tenm1",31.2664857493611,-0.651171770426196,0.784896336139552,-0.829627736101981,0.406749290070311,0.949910305838107,"No","NotSig"
"Grin1",14.9743982078986,-0.854842536968913,1.0302142049538,-0.829771646380326,0.40666790450747,0.949910305838107,"No","NotSig"
"Atg13",643.110992261521,0.221508733121247,0.267028817397282,0.829531191727857,0.40680389424514,0.949910305838107,"No","NotSig"
"Serac1",31.1944000842215,-0.589895596954115,0.711327229625228,-0.829288648580077,0.40694109261892,0.949966559918232,"No","NotSig"
"Lman1",1212.36069699298,0.171506347379336,0.20684479540154,0.829154763340296,0.407016838747995,0.949966559918232,"No","NotSig"
"Stam2",957.463225970217,0.169513776611242,0.2044858229711,0.828975692046872,0.407118162219253,0.949966559918232,"No","NotSig"
"Ighg3",69.1332743984972,0.500651912678711,0.60387147485103,0.829070313020196,0.407064621191457,0.949966559918232,"No","NotSig"
"5730409E04Rik",36.0618550675856,-0.561722232688828,0.677782132437514,-0.82876518250592,0.407237293552248,0.950075246582341,"No","NotSig"
"Morc2b",36.4783019243069,-0.589233097651417,0.711262502079876,-0.828432675599206,0.407425507848105,0.950345034782853,"No","NotSig"
"Pura",1163.79416141894,0.169897008454352,0.205123311036456,0.82826767760275,0.407518923599042,0.950393642836947,"No","NotSig"
"Ufd1",1983.86249803127,-0.149577074174038,0.180726474356643,-0.827643402586744,0.407872480506793,0.950631276869975,"No","NotSig"
"Rpl14",18290.2193806184,-0.177589806358938,0.214623803879114,-0.82744692410244,0.40798379350968,0.950631276869975,"No","NotSig"
"Pde4dip",812.84859317633,-0.181502011018688,0.219235538767544,-0.827885898604858,0.407735121665873,0.950631276869975,"No","NotSig"
"Klhl21",188.978939566095,0.294339794480694,0.355716628373225,0.827455820175677,0.407978753133437,0.950631276869975,"No","NotSig"
"Dcdc5",21.1898835451495,-0.721583290621733,0.87202505335253,-0.827479999396327,0.40796505375188,0.950631276869975,"No","NotSig"
"Stat5a",687.406607937166,-0.196078506739221,0.237245824223525,-0.826478220980115,0.408532867539048,0.950807356790373,"No","NotSig"
"Tmpo",5536.6128562796,-0.151594340331244,0.183464089361323,-0.826288898601225,0.408640229401773,0.950807356790373,"No","NotSig"
"Rps3a1",26462.3163223322,-0.177582600050338,0.214696791779293,-0.827132061819032,0.408162213459666,0.950807356790373,"No","NotSig"
"Nfu1",2933.72461821993,-0.146529999221598,0.177280898558292,-0.826541383833394,0.408497052575427,0.950807356790373,"No","NotSig"
"Rassf8",32.6018971327361,0.570622869897118,0.690444181896463,0.826457641122809,0.408544537251705,0.950807356790373,"No","NotSig"
"Emc6",3127.16961933427,-0.151714624769111,0.183445566979598,-0.82702802399136,0.408221177779309,0.950807356790373,"No","NotSig"
"Gon4l",501.524839503167,0.210124828322968,0.254293899227132,0.826306997382142,0.408629965130246,0.950807356790373,"No","NotSig"
"Zfp28",24.4725100682081,-0.719458880995779,0.870472389721845,-0.826515452403583,0.408511756137371,0.950807356790373,"No","NotSig"
"Nr2c2",492.580049516569,-0.217968693011448,0.263981986458405,-0.825695328441635,0.408976942954585,0.951126047900744,"No","NotSig"
"Mtfr2",69.6588466727042,0.424245592658378,0.513852525862739,0.82561741220613,0.409021154624179,0.951126047900744,"No","NotSig"
"E2f5",568.684196276378,0.188735409484187,0.22854020469334,0.825830228591226,0.408900403876424,0.951126047900744,"No","NotSig"
"Rab30",1957.76593478344,-0.149389080812791,0.180988308422834,-0.825407354290426,0.409140361040465,0.951126047900744,"No","NotSig"
"Swi5",9011.97224614121,0.166326833177538,0.201494068662081,0.825467639231006,0.409106147638156,0.951126047900744,"No","NotSig"
"Saal1",460.174469573631,-0.209087403424826,0.253465681674678,-0.824914055596642,0.409420385907468,0.9511829467998,"No","NotSig"
"Ubp1",1393.81487410635,0.16314347956482,0.198378429818472,0.822385174205208,0.410857714554889,0.9511829467998,"No","NotSig"
"Nelfcd",783.87042084833,0.172170939327664,0.208804323492154,0.824556390634954,0.40962348850106,0.9511829467998,"No","NotSig"
"Ccl9",243.599551012261,-0.337498335437833,0.40945013591012,-0.824272129468578,0.409784950953935,0.9511829467998,"No","NotSig"
"Prpf4b",1979.30956833837,-0.149152726877799,0.180965504780474,-0.824205292929907,0.409822920098238,0.9511829467998,"No","NotSig"
"Slc35b3",1016.58855252766,0.194578892743678,0.23595587749817,0.824641008339311,0.409575432325262,0.9511829467998,"No","NotSig"
"Clptm1l",4527.84368013719,0.140573957028466,0.170837984836957,0.822849538775732,0.410593561432804,0.9511829467998,"No","NotSig"
"Ktn1",1171.60195290633,-0.188765629294726,0.229399020800956,-0.822870248685646,0.410581782980685,0.9511829467998,"No","NotSig"
"Nup155",221.776031133972,0.263360782461974,0.319173863610641,0.825132670584979,0.409296273333241,0.9511829467998,"No","NotSig"
"Sod1",3903.84541879801,0.168285853909334,0.204605892359364,0.822487817769007,0.410799317223505,0.9511829467998,"No","NotSig"
"Sac3d1",405.781040782233,-0.210842752147305,0.256365923607999,-0.822428929633012,0.41083282003643,0.9511829467998,"No","NotSig"
"Hsd17b7",167.438850151576,-0.277531073558159,0.337405683717634,-0.822544156637318,0.410767266266324,0.9511829467998,"No","NotSig"
"Ell3",56.9433271996964,-0.453067777411494,0.550950937455422,-0.822337792007392,0.410884673523459,0.9511829467998,"No","NotSig"
"Rngtt",860.720435194096,-0.168381393244397,0.204528714747615,-0.823265297746464,0.410357143158924,0.9511829467998,"No","NotSig"
"Mzf1",27.028935606836,0.645945538358437,0.785408531267102,0.822432546430748,0.41083076231037,0.9511829467998,"No","NotSig"
"Dnajc13",415.297749898832,-0.221748415826375,0.269627245816576,-0.822425846300518,0.410834574259799,0.9511829467998,"No","NotSig"
"Tnfsf9",893.743630595697,-0.258554924079019,0.314224962390246,-0.822833813431765,0.410602505121515,0.9511829467998,"No","NotSig"
"Tbc1d9b",554.287767679673,-0.195799724516153,0.238110348868407,-0.822306655072613,0.410902390024291,0.9511829467998,"No","NotSig"
"Pcp4l1",15.2997956550257,-0.817341357968463,0.992093445931447,-0.823855213760721,0.410021830611817,0.9511829467998,"No","NotSig"
"Rhod",34.4802304348248,0.555149593134377,0.675120889916442,0.822296571511935,0.41090812753314,0.9511829467998,"No","NotSig"
"Zfp85",66.2646693779865,-0.449608548853594,0.545998409477758,-0.823461279463507,0.410245727657503,0.9511829467998,"No","NotSig"
"Slc31a2",2598.69830845431,-0.14527749146707,0.176212002285868,-0.824447197594333,0.40968550648296,0.9511829467998,"No","NotSig"
"Olfr607",175.367346241383,-0.358585468662045,0.43573574607515,-0.822942510207095,0.410540686891089,0.9511829467998,"No","NotSig"
"Rps2-ps10",38.3481540293072,-0.566700136948791,0.687815643337204,-0.823912835420878,0.409989086775322,0.9511829467998,"No","NotSig"
"Clcn5",83.117173763292,-0.396887129740307,0.484281581754995,-0.819537939687945,0.412479565047307,0.95129970617124,"No","NotSig"
"9330159F19Rik",19.761859176023,-0.748939468639313,0.913322191920411,-0.820016720566643,0.412206575298116,0.95129970617124,"No","NotSig"
"Hdgf",3000.94767516042,-0.143829233048947,0.174997490429179,-0.821893117988193,0.411137730130415,0.95129970617124,"No","NotSig"
"Pcyt1a",480.377379469047,0.199393374167478,0.243241179878131,0.819735269609278,0.412367039124449,0.95129970617124,"No","NotSig"
"Zbtb17",598.914807513824,0.181869352943734,0.222039774198998,0.819084569869622,0.412738164757809,0.95129970617124,"No","NotSig"
"Smad5",276.808616197199,0.250048124862463,0.304190955644263,0.822010385985581,0.411070985877344,0.95129970617124,"No","NotSig"
"L3mbtl2",330.500725129525,0.240974228900558,0.294143862214355,0.819239358205443,0.41264986352283,0.95129970617124,"No","NotSig"
"Atf1",705.157933373232,-0.176969235948388,0.215676473816011,-0.820531014891114,0.411913455980939,0.95129970617124,"No","NotSig"
"Nfkb2",2819.36685372602,0.189601387300276,0.231061925411016,0.820565253072356,0.41189394650176,0.95129970617124,"No","NotSig"
"Vps39",973.746419932515,-0.206061696542371,0.250989084511177,-0.82099863802322,0.411647044004984,0.95129970617124,"No","NotSig"
"Dusp16",575.454674563471,0.185775965477927,0.226800386658265,0.819116617106335,0.41271988203111,0.95129970617124,"No","NotSig"
"Mrpl51",3077.29338998993,-0.181778903563415,0.221599098238306,-0.820305249473223,0.412042114554254,0.95129970617124,"No","NotSig"
"Pgls",3361.68300948616,-0.153960153894637,0.188007486526641,-0.818904378431869,0.412840971660891,0.95129970617124,"No","NotSig"
"Slc25a36",769.847849337181,-0.179452788789764,0.218693007905434,-0.820569393180427,0.411891587437187,0.95129970617124,"No","NotSig"
"Fkbpl",87.4672757914227,-0.359209325811149,0.437240009738454,-0.821538097636625,0.411339832730928,0.95129970617124,"No","NotSig"
"Rmi1",538.545467713044,-0.200179910966459,0.244023344168813,-0.820330987792613,0.412027445668316,0.95129970617124,"No","NotSig"
"Nme1",5033.77999714503,0.159835206449612,0.195021552577787,0.819577140766837,0.412457209474431,0.95129970617124,"No","NotSig"
"Man2a2",238.199692896025,0.328404012044784,0.401005685874794,0.818951011451049,0.412814364078729,0.95129970617124,"No","NotSig"
"Ppp1r15b",1167.06264163809,0.185736888279304,0.226718119740846,0.81924148141143,0.412648652387245,0.95129970617124,"No","NotSig"
"Rexo4",1589.42703209674,-0.165550307779073,0.202025534408592,-0.81945239379618,0.412528352612113,0.95129970617124,"No","NotSig"
"Ece1",6365.39420596967,0.164314140448391,0.200024461769036,0.821470229166877,0.411378474958834,0.95129970617124,"No","NotSig"
"2700097O09Rik",920.289622571302,0.171864061107789,0.2095726242498,0.820069232434364,0.412176640769973,0.95129970617124,"No","NotSig"
"Olfr1505",14.1436926852269,-0.887140568711496,1.0824760454981,-0.819547529389697,0.412474096170333,0.95129970617124,"No","NotSig"
"Kantr",302.616530653148,0.223376523651274,0.272247219466845,0.820491478622714,0.411935985079257,0.95129970617124,"No","NotSig"
"Vmn2r60",63.4409975984286,-0.497308052533325,0.607292950278113,-0.818893175535103,0.412847363892414,0.95129970617124,"No","NotSig"
"Vmn1r77",38.1862251872029,0.590834240721639,0.719145551543326,0.821578106759718,0.411317053771105,0.95129970617124,"No","NotSig"
"Tnpo3",1514.93042589072,-0.152975528981956,0.187053664174241,-0.817816264959442,0.41346210920126,0.951726607740148,"No","NotSig"
"Peli1",4072.28496440895,0.150397177777274,0.183994922401715,0.817398522818544,0.413700719595947,0.951726607740148,"No","NotSig"
"Usp25",1326.7890979032,0.166062865090861,0.20318576113649,0.817295779792895,0.413759417935446,0.951726607740148,"No","NotSig"
"Il6",320.501856738779,0.303246188494585,0.370611290395638,0.818232461754907,0.413224462545731,0.951726607740148,"No","NotSig"
"Rbm19",152.464082239098,0.290942028432339,0.355763779314967,0.817795529923129,0.413473950937367,0.951726607740148,"No","NotSig"
"Rac2",7295.70317597007,-0.134786887706065,0.164877173109735,-0.817498779023565,0.413643446759173,0.951726607740148,"No","NotSig"
"Mks1",176.302599657722,-0.282767778009181,0.345634581276197,-0.81811194055036,0.413293271334504,0.951726607740148,"No","NotSig"
"Slc26a2",789.987529694151,0.20897854474735,0.255631798194002,0.817498238574973,0.413643755485824,0.951726607740148,"No","NotSig"
"Gimap9",57.4657561850115,-0.464798354709491,0.568528543118349,-0.817546208252089,0.413616353747908,0.951726607740148,"No","NotSig"
