gene_id	a160	a163	a169	a172
Def8	417	400	463	905
Pax9	4	9	12	11
Col1a1	10	14	11	8
Itga3	151	166	337	650
Sgca	5	2	10	17
Foxm1	70	76	99	160
Itfg2	395	351	458	641
Nrip2	54	30	36	81
Tulp3	113	105	140	205
Gtf2h4	375	337	460	641
Tubb5	3871	2910	3148	4429
Ell2	686	647	864	1411
Jup	423	383	673	1038
Fkbp10	6	20	6	0
Klhl10	6	5	8	5
Nom1	715	665	729	918
Ergic1	1296	1143	1562	2182
Tnk1	3	4	4	7
Acap1	496	448	543	763
Tcea3	6	0	1	0
Csn3	9	7	8	1
Ifrd1	2618	3583	5233	6108
Stk38l	292	494	564	661
Brpf1	742	811	889	1289
Akr1b3	5190	5414	6601	8502
Hoxc8	0	3	4	5
Gstt1	92	46	103	125
Gstt3	360	247	481	712
Ddt	1007	700	872	714
Marveld3	5	2	7	6
Ddx18	1360	1157	1555	1712
Ubl3	2949	3155	3690	6455
Gramd3	3128	1954	3236	4802
Eef1e1	1994	1942	2647	2702
Akt1	3120	2777	3600	6755
Cldn15	18	10	18	57
Il16	4831	3847	2570	4974
Tcirg1	1487	1311	1459	2401
Naglu	489	441	502	840
Coasy	823	630	779	1319
Smo	64	50	70	115
Tspan33	3053	2684	2740	4687
Crnkl1	802	644	733	1069
Rin2	244	222	176	309
BC039771	244	222	176	309
Chordc1	2071	1904	1925	3297
Rtcb	4375	3882	4350	6848
Pwp1	916	826	947	1648
Fbxo7	703	677	700	837
Capns1	918	739	1086	1767
Folr1	0	0	0	8
Clpb	368	337	378	528
Septin7	8642	7359	9813	12357
Zdhhc4	946	844	931	1190
Rac1	14697	12963	16299	23873
Nup214	838	830	824	1308
Aif1l	27	2	16	18
Cpa3	1	24	17	0
Ltbp1	6	12	23	8
Ugp2	1103	926	1433	1947
Trmt1	425	426	568	762
Nacc1	220	202	253	445
Nfix	278	216	298	507
Slc1a5	3208	2895	3665	6654
Uba1	2224	1919	1910	3316
Vwf	861	477	337	434
Siae	435	457	465	567
Vsig2	5	2	7	6
Esam	488	245	112	264
Spa17	51	43	44	75
Fam50a	1618	1486	1804	2064
Emd	2076	2035	2425	4168
Taco1	127	106	115	129
Grik3	17	28	26	25
Gria3	111	78	109	69
Npas1	0	5	3	9
Sipa1l2	21	49	53	70
Ap4e1	242	212	195	380
Blvra	1306	1114	1293	1794
Pdzd4	14	16	23	12
Srpk3	38	32	23	32
Idh3g	5837	5628	6986	8624
Pnck	36	23	10	40
Ssr4	5434	4821	5478	5898
Bcap31	4983	4438	6474	7854
Fam98a	327	283	331	477
Ltbp2	181	134	124	271
Kmt2a	563	439	374	782
Ift46	456	374	447	663
Tmem25	19	12	24	39
Cd3g	108	81	112	126
Trappc6a	1707	1393	2030	2369
Supt6	729	601	519	923
Spag5	99	74	66	198
Foxn1	4	6	12	5
Unc119	3528	3439	2380	3712
Rab34	41	48	64	50
Sdf2	2407	1975	2457	3496
Ccne1	147	110	142	176
Hsf2bp	8	2	4	1
Bbc3	331	211	390	531
Mybpc3	29	45	67	54
Psmc3	5688	5178	6079	7930
Acp2	559	432	374	1024
Rapsn	1	1	1	13
Slc39a13	350	318	418	717
Celf2	5179	4635	5300	7273
Nr1h3	75	32	58	65
Ddb2	384	277	510	710
Spi1	15287	13778	15287	19996
