"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Vmn2r60",38.6707079948603,-0.496193675358273,0.521889604917206,-0.950763668567399,0.341724359545638,0.589584933924218,"No","NotSig"
"Inpp4b",272.234916022857,0.207396247476076,0.218172496122848,0.950606749987844,0.341804040814128,0.58963866626101,"No","NotSig"
"Oat",6453.94760773222,-0.0805346408246691,0.0847335294041926,-0.950445961485989,0.34188569951029,0.58969579407227,"No","NotSig"
"Cep290",393.909753609594,-0.185349196829467,0.195042858763017,-0.950299836687035,0.341959921863986,0.589725624029015,"No","NotSig"
"Rabggtb",518.008861950653,-0.153601859100295,0.161648601010846,-0.950220776052303,0.342000084070169,0.589725624029015,"No","NotSig"
"Calu",1150.09444509383,0.114411292074143,0.120454882406135,0.949826937594654,0.342200195988505,0.589903218514028,"No","NotSig"
"Psmb10",4600.61850618374,0.0862256964024799,0.0907754759938197,0.949878758094867,0.342173861372832,0.589903218514028,"No","NotSig"
"Rpl28-ps1",1440.57680417437,-0.111430798614359,0.117329795312636,-0.949722943924357,0.342253048353633,0.589910617394996,"No","NotSig"
"Taf12",1458.21878979666,-0.109163737922115,0.114967601511702,-0.949517398699523,0.342357527290939,0.590006985605097,"No","NotSig"
"Snrnp70",2171.48509193951,0.102385420399926,0.107885822836733,0.949016448202548,0.342612246574019,0.590362208706551,"No","NotSig"
"Cnpy4",416.951782341817,0.167551051616152,0.176595559373275,0.948784058958103,0.342730451117724,0.590482133056037,"No","NotSig"
"Xkrx",18.8908361175571,-0.690773425314034,0.728420522421245,-0.94831680883719,0.342968196288431,0.590789841020325,"No","NotSig"
"Madd",929.118299262847,-0.133214523844122,0.140485801093996,-0.948241906347469,0.343006317806746,0.590789841020325,"No","NotSig"
"Ttc17",664.894343915554,-0.138130736990561,0.145718074077513,-0.947931393308725,0.343164381866507,0.590810786694208,"No","NotSig"
"Soga1",153.64667959114,0.255441038984902,0.269468473916599,0.947944059177629,0.343157933501775,0.590810786694208,"No","NotSig"
"Zfp28",44.7268321449845,-0.451238299957301,0.475932685974844,-0.948113700224304,0.343071574419105,0.590810786694208,"No","NotSig"
"Cd36",231.416096032975,-0.256291728555473,0.270551751668516,-0.947292808029885,0.34348959459803,0.591068740560805,"No","NotSig"
"Ubb",163955.688609199,-0.0808524835959276,0.0853658196987588,-0.947129470334169,0.343572809295681,0.591068740560805,"No","NotSig"
"Slc35a1",913.94309868147,0.126026032869351,0.133067360919769,0.9470844841158,0.343595730421694,0.591068740560805,"No","NotSig"
"Cox7b",6785.06903665072,-0.0817639916509981,0.0862912159559131,-0.947535513843866,0.343365968469469,0.591068740560805,"No","NotSig"
"Abhd18",121.419145176552,-0.284046652810991,0.299923383504735,-0.947064045129735,0.343606144702042,0.591068740560805,"No","NotSig"
"Aak1",182.702778139006,-0.240028127781842,0.253380307075134,-0.947303800175235,0.343483994956587,0.591068740560805,"No","NotSig"
"Zfp808",140.811636479363,-0.271235494193244,0.286425665930228,-0.946966443500617,0.34365587845795,0.591070594861558,"No","NotSig"
"Anapc11",3037.26512447353,-0.0920413963394296,0.0972499862817132,-0.946441226971535,0.343923586016225,0.591363584278145,"No","NotSig"
"Tmprss11a",22.8026004673311,-0.630194945244713,0.665836447797281,-0.946471085098334,0.343908363493686,0.591363584278145,"No","NotSig"
"Tvp23b",1220.40439771385,0.117705222790836,0.124399197763863,0.946189564777312,0.344051907655889,0.591500505831267,"No","NotSig"
"Mllt1",253.862447236879,0.200217652883924,0.21169427400576,0.945786813669208,0.34425733257149,0.591524805090304,"No","NotSig"
"Yif1b",1269.75042336862,-0.111141645073194,0.117513212784209,-0.945779988819518,0.344260814289468,0.591524805090304,"No","NotSig"
"Zfp821",196.442925352349,0.232094499688799,0.245353551703247,0.945959404612637,0.344169292243355,0.591524805090304,"No","NotSig"
"Nt5dc1",635.057033155631,0.138041168692574,0.145953611852061,0.94578795920784,0.34425674817365,0.591524805090304,"No","NotSig"
"Ciao2a",5806.78889064163,0.0813820717932072,0.0860572945779734,0.945673137789265,0.344315327600164,0.591534804085248,"No","NotSig"
"Slc26a3",34.9438184362967,-0.533475045642396,0.564483457381371,-0.945067634253053,0.344624347744091,0.591753323760369,"No","NotSig"
"Mark4",100.490210141234,0.317387467710795,0.335844782804657,0.945042126485562,0.344637369575618,0.591753323760369,"No","NotSig"
"Secisbp2",1031.69800337286,-0.117423304815936,0.124222585734325,-0.945265340612609,0.34452342839237,0.591753323760369,"No","NotSig"
"BC055324",126.797888834276,-0.290448522564933,0.307308225832475,-0.945137481361358,0.344588692083695,0.591753323760369,"No","NotSig"
"Rragd",27.9621112403524,0.585803586907536,0.619987147040767,0.944864082592049,0.344728270536782,0.591825753318376,"No","NotSig"
"Fbxw7",357.551857463515,-0.181483072418151,0.192135033504285,-0.944560026915153,0.34488354263435,0.592008658460093,"No","NotSig"
"Habp4",227.924136366452,0.209082542119089,0.221449380848902,0.944155008777151,0.345090442500362,0.592280120866685,"No","NotSig"
"9330159F19Rik",21.7798551052492,-0.665418564605386,0.705693657661131,-0.942928361876982,0.345717546761724,0.592376124366884,"No","NotSig"
"Pkn2",845.250423908362,-0.124717089912745,0.132184724371688,-0.943506070807807,0.345422111583673,0.592376124366884,"No","NotSig"
"Larp4",1326.81395598988,-0.10926015042311,0.115813010588816,-0.943418618233049,0.345466823707582,0.592376124366884,"No","NotSig"
"Gm20517",27.8524224459147,0.58082667752973,0.616232291007624,0.94254502077455,0.345913672820945,0.592376124366884,"No","NotSig"
"Pold4",994.344235810152,-0.123333116675102,0.13078520223151,-0.943020422576425,0.34567045696106,0.592376124366884,"No","NotSig"
"Maco1",534.499999946539,-0.146914298233814,0.15567466613295,-0.943726438496712,0.345309459935963,0.592376124366884,"No","NotSig"
"Sgcb",129.9793874936,-0.28973396367267,0.307334456351449,-0.94273179490603,0.345818106057492,0.592376124366884,"No","NotSig"
"Ppat",530.375071481927,-0.147138403409304,0.156188413769764,-0.942057095388649,0.346163409105828,0.592376124366884,"No","NotSig"
"Hddc3",109.832301593455,-0.309065947000791,0.328052104777429,-0.94212456649373,0.346128868330703,0.592376124366884,"No","NotSig"
"Chic1",131.118777330862,-0.269483358759722,0.285960033158405,-0.942381198460848,0.345997509673449,0.592376124366884,"No","NotSig"
"Hsbp1",4451.96330102169,0.0907195488728502,0.0962718044279199,0.942327293146077,0.346025098806424,0.592376124366884,"No","NotSig"
"Marchf3",52.1843901615183,0.4513635488753,0.478974884612683,0.942353270235223,0.346011803367917,0.592376124366884,"No","NotSig"
"Aspm",79.6343472322311,-0.354530996935459,0.376281544097528,-0.942196082951038,0.346092258997848,0.592376124366884,"No","NotSig"
"Rfc3",999.040758000864,-0.125311442043757,0.132936516312196,-0.942641235982658,0.345864440261691,0.592376124366884,"No","NotSig"
"Rmi1",480.461318957684,-0.152730022098516,0.161915055731596,-0.943272516619418,0.345541529720331,0.592376124366884,"No","NotSig"
"Wdr36",501.00836053771,-0.153772239607554,0.162942057721035,-0.943723442297627,0.345310991431572,0.592376124366884,"No","NotSig"
"Stx11",618.894427049915,0.141583726569333,0.150294267404348,0.9420434259706,0.346170407217691,0.592376124366884,"No","NotSig"
"Eif3j2",734.837212965482,0.345630576644535,0.366586251391643,0.942835622810307,0.345764987685955,0.592376124366884,"No","NotSig"
"Kctd14",163.58244810477,0.285976651002485,0.303228269952651,0.943106825254583,0.345626265003341,0.592376124366884,"No","NotSig"
"Tubgcp6",169.041579743869,-0.252252334872541,0.267423439126718,-0.943269354759181,0.345543146585438,0.592376124366884,"No","NotSig"
"Pym1",109.840481616311,-0.316705372765776,0.336133923651061,-0.942199969957647,0.346090269306671,0.592376124366884,"No","NotSig"
"Mx2",62.4021146260379,-0.390318196450145,0.414403299717098,-0.941880039846702,0.346254060356668,0.592435820452507,"No","NotSig"
"Naga",1484.8316470048,-0.105215751692217,0.111777334455758,-0.941297734505039,0.346552303413708,0.592862608346673,"No","NotSig"
"Mrpl30",1839.68903430757,0.102228073912223,0.108633770880729,0.941034018090573,0.346687426536278,0.592916948117026,"No","NotSig"
"Ssr3",1747.3428198129,0.102953200833614,0.109420514287112,0.940894872450259,0.34675873555151,0.592916948117026,"No","NotSig"
"Ociad2",20.2921264225433,-0.693937723288789,0.737560948864189,-0.94085475153941,0.34677929835129,0.592916948117026,"No","NotSig"
"Usf2",436.459037842018,-0.159788239871879,0.169815721550161,-0.940950804868084,0.346730070321495,0.592916948117026,"No","NotSig"
"Zbtb38",321.296344893396,-0.183079999967157,0.194611738613457,-0.940744896847129,0.346835605134206,0.592929767966554,"No","NotSig"
"Pkd1l2",28.2646261493302,0.56172147547817,0.597217355456276,0.940564553836539,0.346928053810804,0.593004361572202,"No","NotSig"
"1700008O03Rik",32.1189370276003,-0.548496998771231,0.583395409177298,-0.940180519323455,0.347124972484424,0.593007195294724,"No","NotSig"
"Mfsd13a",172.79110469362,0.238384766539175,0.253546815387297,0.940200200010552,0.347114879228246,0.593007195294724,"No","NotSig"
"Fhl3",34.2592903866144,-0.509633453940152,0.54196039799327,-0.940351833505148,0.347037120131605,0.593007195294724,"No","NotSig"
"Gm10693",42.9997339378281,-0.542924800182352,0.577442029031597,-0.940223906273097,0.347102721700439,0.593007195294724,"No","NotSig"
"Prelid3b",2609.75856978782,-0.0910026700601125,0.0969120181559454,-0.939023578207567,0.3477186388384,0.593719842255522,"No","NotSig"
"Srebf1",442.242754798296,-0.16358289014618,0.174197863572118,-0.939063699127727,0.34769804061009,0.593719842255522,"No","NotSig"
"Sufu",206.707872414272,-0.218766958477424,0.232981982009866,-0.93898659711874,0.347737625753049,0.593719842255522,"No","NotSig"
"Cog6",510.139379626661,0.152063200799757,0.161920107707587,0.939124874313753,0.347666634537844,0.593719842255522,"No","NotSig"
"Prps2",1056.00969964149,0.11878273137596,0.126605481329505,0.938211601335135,0.348135677533585,0.594232430894757,"No","NotSig"
"Vmn1r88",193.167674448493,-0.251732140252474,0.268306041495298,-0.938227625623127,0.348127444239429,0.594232430894757,"No","NotSig"
"Slc30a4",93.2167683141106,-0.313760013461313,0.334667262082896,-0.937528252714471,0.348486897882056,0.594526181314083,"No","NotSig"
"Mtfr2",86.2986791392432,-0.340051432268774,0.362723116117887,-0.937495894687494,0.3485035345026,0.594526181314083,"No","NotSig"
"Mrps30",917.51939330045,0.129458137107415,0.138054236819997,0.937733894224557,0.348381180741432,0.594526181314083,"No","NotSig"
"Trak2",207.372247756055,0.216479043368174,0.23089296583076,0.93757314169046,0.348463819410091,0.594526181314083,"No","NotSig"
"9130023H24Rik",58.2623600018378,-0.415180479792609,0.443002798593827,-0.937196065375815,0.348657713346932,0.594705686848994,"No","NotSig"
"Dffa",571.480756838042,-0.148802237417526,0.158960294866914,-0.936096888484678,0.349223304926978,0.595586790432813,"No","NotSig"
"Smarca5",2852.76683531319,0.0914588720844864,0.0977196248861133,0.935931469150403,0.349308473375738,0.595596858778032,"No","NotSig"
"Ccl28",18.5092959106534,-0.69984738141577,0.747784100793787,-0.935894973793731,0.349327265294162,0.595596858778032,"No","NotSig"
"Nhej1",164.772256036081,0.243143930945576,0.259852134633009,0.935701110514137,0.349427098697047,0.595599887045282,"No","NotSig"
"Rpgrip1l",32.2860732428034,-0.522195175003151,0.558051419497287,-0.93574741817441,0.349403250083249,0.595599887045282,"No","NotSig"
"Zfp964",103.326208710715,-0.299961079888786,0.320739794937142,-0.935216286297034,0.349676846980439,0.595941966486864,"No","NotSig"
"Tmc4",79.565109186983,-0.379645560771869,0.406068071540911,-0.934930833963933,0.349823945479097,0.596025426322591,"No","NotSig"
"Rnf115",2522.06966473875,0.095601359697054,0.102249589419024,0.934980377332126,0.349798412113129,0.596025426322591,"No","NotSig"
"Pelp1",113.40012249744,0.288874774372678,0.3090373005766,0.934756981871436,0.349913553691827,0.596094495897955,"No","NotSig"
"Atxn3",766.575313675313,0.12810533950632,0.137153088353863,0.934031752721463,0.35028751408889,0.596564239611921,"No","NotSig"
"Cd226",34.9628207800234,0.51072547494365,0.546771961649337,0.934074002995777,0.350265721017253,0.596564239611921,"No","NotSig"
"Atpaf1",615.442066867224,0.13991171722419,0.149835156482511,0.933770955420073,0.350422054722224,0.596709716956206,"No","NotSig"
"Ccnh",968.386042692019,0.12631576048126,0.135317765884913,0.933475066302011,0.350574738270366,0.596721669210246,"No","NotSig"
"Gpr37",31.584675390623,-0.535104476687076,0.573241195757369,-0.933471775314566,0.350576436710037,0.596721669210246,"No","NotSig"
"Tmem35b",996.261037998771,-0.1224507453642,0.131157531611078,-0.933615811917712,0.350502106007095,0.596721669210246,"No","NotSig"
"Nkap",533.497859552292,-0.151283715008071,0.162135530039794,-0.933069481876924,0.350784094893691,0.596991480074049,"No","NotSig"
"Triqk",134.02672072269,0.306157934565566,0.328315061808596,0.932512608099754,0.35107167391558,0.597397211756054,"No","NotSig"
"Hgh1",166.073946832709,-0.256053842414369,0.274654489805815,-0.932276193975211,0.351193807331428,0.597521340540923,"No","NotSig"
"Odf2",539.97549200957,0.15161481554509,0.162768186428442,0.931476960405556,0.351606897087673,0.598140398518563,"No","NotSig"
"Dhcr7",187.012936963432,-0.242067941872011,0.259932106917654,-0.9312737265993,0.351711989039974,0.598235402248335,"No","NotSig"
"Ubqln2",207.537789356445,-0.246818421351845,0.265133433293004,-0.930921529911625,0.351894156621556,0.598343430950331,"No","NotSig"
"Vmn1r13",48.4653699242035,-0.438697524836668,0.471279293987419,-0.930865264894026,0.351923264252562,0.598343430950331,"No","NotSig"
