gene_id	a161	a165	a170	a173
Bloc1s6	899	983	935	1315
Metap1	617	717	851	812
Gpr108	1169	1172	1785	2069
Tnfsf14	155	241	58	126
Gata6	1	0	8	4
Rsl1d1	2191	2394	2235	3049
Apc	408	318	331	409
Reep5	2059	2094	2741	3413
Ergic3	1349	1373	1919	2372
Uqcc1	634	762	809	918
Spo11	2	3	1	1
Ncoa2	779	582	578	728
Nr2c2	442	456	319	409
Nr2c1	98	152	189	215
Smpd4	266	305	235	347
Pex1	265	222	187	260
Kctd20	1357	1537	1702	2032
Itgae	18	29	13	15
Ctns	446	522	595	588
P2rx5	110	115	127	185
Shpk	54	76	73	78
Ephb3	9	4	10	5
Tuft1	136	168	119	134
Rcn1	300	370	456	602
Dnase1	3	3	5	2
Trap1	879	1048	1300	1584
Naa60	1341	1318	1643	1983
1700037C18Rik	175	183	118	174
Gm41410	175	183	118	174
Ankrd13d	68	100	175	245
Tpr	4549	4692	4914	6297
Odr4	830	951	820	927
Prg4	16	29	14	13
Dhx34	251	261	197	259
Kptn	782	813	887	945
Napa	3637	3942	4709	5269
Sra1	2921	3066	3728	4629
Atp5g1	5160	5049	5617	7166
Snf8	1031	1214	1510	1928
Tbcb	2762	2732	3449	4019
Inpp5k	1876	1876	2116	2487
Crkl	922	817	823	961
Eps8l1	17	3	40	30
Clint1	2890	2888	3422	4011
Prss16	3	2	1	4
Cdkal1	745	790	830	1106
Htra1	14	16	61	79
Zbtb17	419	445	555	647
Fblim1	55	70	64	82
Epor	9	6	21	39
Ccdc159	6	5	1	1
Mob1b	484	406	406	532
Atp6v1b2	1564	1510	1939	2527
Eps15l1	401	445	687	911
Tep1	1123	1081	970	1369
Ttc5	1802	2092	2353	2561
Osgep	2228	2492	2627	3136
Aamp	2829	3381	4611	5116
Tmbim1	873	939	1502	1831
Arpc2	31047	33604	38693	47480
Kmt2b	428	393	263	421
Zbtb32	38	32	10	43
Tmem147	2650	3039	3465	4387
Rps9	31141	28772	27395	36028
Tfpt	302	358	397	464
Susd2	143	104	497	512
Ggt5	616	695	913	1121
Crip2	72	52	151	173
Crip1	5572	3762	6652	7752
Cbfa2t3	2342	2004	2195	2775
Pgrmc1	1038	1119	1293	1633
Gcat	134	124	120	70
Tek	4	1	3	1
Mpl	0	0	7	5
Elovl1	2382	2734	3212	3793
Med8	1248	1325	1312	1643
Hyi	604	630	714	826
Cdc20	245	326	229	373
Adamts4	4	3	7	5
Nectin4	113	124	140	151
Pfdn2	1346	1666	2057	2162
Rnf114	3290	4012	3705	4158
Steep1	468	439	501	664
Neurl1a	4	1	8	6
Srm	635	799	761	1053
Epha2	24	32	24	25
Rbm14	718	864	885	1174
Zdhhc24	179	235	220	273
Bbs1	61	71	47	52
Ndor1	322	394	514	499
Nsmf	63	85	100	142
Pdk1	320	416	368	354
Ptbp1	2366	2617	2677	2970
Mvd	381	416	307	471
Cyba	48433	46915	54274	63907
